 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
LFOI	Abbeville	5008540N	00149950E	3	0		
LFOK	Chalons Vatry	4846520N	00411450E	3	0		
LFOP	Rouen	4923470N	00111070E	5	0		
LFOQ	Blois	4740670N	00112580E	3	0		
LFOR	Chartres	4827530N	00131430E	3	0		
LFOW	St.Quentin	4948970N	00312330E	3	0		
LFOX	Etampes	4822900N	00204500E	3	0		
LFOZ	Orleans	4753860N	00209870E	4	0		
LFPC	Creil	4915250N	00231250E	3	0		
LFPE	Enghien	4902720N	00221130E	3	0		
LFPK	Coulommiers	4850650N	00300880E	3	0		
LFPU	Moret	4820470N	00247920E	3	0		
LFQA	Reims	4912520N	00409420E	4	0		
LFQB	Troyes	4819250N	00401050E	4	0		
LFQD	Arras	5019433N	00248167E	3	1		
LFQG	Nevers	4700220N	00306670E	3	0		
LFQH	Chatillon	4750720N	00434780E	3	0		
LFQI	Cambrai	5013150N	00309150E	3	0		
LFQJ	Maubeuge	5018500N	00401830E	3	0		
LFQK	Chalons Ecury	4854170N	00421200E	3	0		
LFQL	Benifontaine	5028100N	00249450E	3	0		
LFQM	Besancon	4712317N	00604833E	3	0		
LFQN	St.Omer	5043720N	00214100E	3	0		
LFQQ	Lille	5033850N	00305250E	4	0		
LFQR	Romilly	4829980N	00345750E	3	0		
LFQS	Vitry-en-Artois	5020250N	00259550E	3	0		
LFQT	Merville	5037230N	00238720E	3	0		
LFQV	Charleville-Mezieres	4947100N	00438600E	3	0		
LFRM	Le Mans	4756940N	00011950E	3	0		
LFSI	St.Dizier	4838020N	00454040E	3	0		
LFSJ	Sedan	4939550N	00502250E	3	0		
LFSK	Vitry-le-Francois	4842140N	00441010E	3	0		
LFSW	Epernay	4900260N	00405170E	4	0		
LFTM	Serres	4427267N	00543617E	2	0		
LFTP	Puimoisson	4352450N	00610150E	3	0		
LFXM	Mourmelon	4906670N	00422030E	3	0		
LFYR	Romorantin	4719200N	00141300E	3	0		
LFYT	Clastres	4945450N	00312600E	3	0		
LFZZ	Avalon	4729950N	00353950E	3	0		
LFZZ	Ghyvelde	5102210N	00232960E	3	0		
LFZZ	La Motte du Caire	4419520N	00601850E	3	0		
LFZZ	St.Remy	4522160N	00616925E	2	0		
LHAA	Budapest	4726300N	01915800E	5	0		
LHDC	Debrecen	4729350N	02137017E	3	0		
LHDK	Dunakeszi	4737000N	01909000E	3	0		
LHEM	Esztergom	4746367N	01843300E	3	0		
LHFM	Farkashegy	4729167N	01854000E	3	0		
LHGD	Godollo	4735000N	01919000E	3	0		
LHGY	Gyoengyoes	4748783N	01958333E	3	0		
LHHH	Harmashatarhegy	4737000N	01858000E	3	0		
LHKE	Kecskemet	4655100N	01945250E	3	0		
LHKV	Kaposvar	4623500N	01744000E	3	0		
LHMC	Miskolc	4808017N	02047067E	3	0		
LHOY	Ocseny	4618000N	01846000E	3	0		
LHPP	Pecs	4558000N	01814000E	3	0		
LHSK	Siofok	4651433N	01805817E	3	0		
LHSM	Sarmellek	4641167N	01709833E	3	0		
LHSS	Szolnok	4707000N	02013000E	3	0		
LHSY	Szombathely	4717000N	01638000E	3	0		
LHSZ	Szentes	4636500N	02016500E	3	0		
LHTA	Taszar	4623600N	01755150E	3	0		
LHTL	Tokol	4720750N	01858950E	3	0		
LHUD	Szeged	4615250N	02006000E	3	0		
LHZZ	Eger-Maklar	4746983N	02024983E	3	0		
LHZZ	Fertoszentmiklos	4735000N	01650667E	3	0		
LHZZ	Gyor	4738000N	01749000E	3	0		
LHZZ	Jakabszallas	4644883N	01936450E	3	0		
LHZZ	Kecsked	4731000N	01818217E	3	0		
LIAF	Foligno	4255933N	01242617E	3	0		
LIAP	Preturo	4222250N	01317833E	3	0		
LIDA	Asiago	4553267N	01130983E	3	0		
LILE	Biella	4530000N	00806117E	3	0		
LILN	Varese	4544467N	00853200E	3	0		
LIMC	Milano	4537783N	00843383E	5	0		
LIME	Bergamo	4540050N	00941967E	3	0		
LIMF	Torino	4505125N	00736260E	5	0		
LIMN	Cameri	4531967N	00839967E	3	0		
LIMW	Aosta	4544367N	00721717E	4	0		
LIMZ	Cuneo	4432725N	00737345E	3	0		
LIPA	Aviano	4602050N	01236083E	3	0		
LIPB	Bolzano	4627667N	01119583E	4	0		
LIPD	Udine	4601933N	01311217E	4	0		
LIPH	Treviso	4539133N	01211917E	3	0		
LIPI	Rivolto	4558950N	01303283E	3	0		
LIPN	Verona	4528383N	01055617E	4	0		
LIPQ	Ronchi	4549650N	01328317E	3	0		
LIPT	Vicenza	4534417N	01131767E	3	0		
LIPU	Padova	4523767N	01150883E	3	0		
LIPV	Venice	4525733N	01223283E	5	0		
LIQN	Rieti	4225533N	01250867E	3	0		
LIZZ	Celano	4203167N	01333517E	3	0		
LJBL	Lesce Bled	4621583N	01410717E	3	0		
LJBO	Bovec	4619933N	01333483E	3	0		
LJCL	Celje	4614633N	01513817E	3	0		
LJLJ	Ljubljana	4613467N	01427367E	5	0		
LJMB	Maribor	4628800N	01541167E	4	0		
LJPZ	Portoroz	4528400N	01336900E	3	0		
LJSG	Slovenj Grad	4628383N	01507167E	3	0		
LJVE	Velenje	4623767N	01503067E	3	0		
LKBR	Broumov	5033717N	01620567E	3	0		
LKCH	Chomutov	5028133N	01328083E	3	0		
LKCR	Chrudim	4956183N	01546833E	3	0		
LKCT	Chotebor	4941083N	01540750E	3	0		
LKFR	Frydlant	4935367N	01822750E	3	0		
LKHC	Horice	5021400N	01535733E	3	0		
